municipio,6/2021,7/2021,9/2021,10/2021,11/2021,12/2021,1/2022,2/2022
Conceição da Aparecida,0,0,0,0,2,0,0,0
Conceição da Barra de Minas,0,0,0,0,0,0,1,0
Conceição das Alagoas,0,0,0,0,0,0,1,0
Conceição dos Ouros,0,0,0,0,0,0,1,0
Congonhas,0,1,1,2,5,0,0,2
Conquista,0,0,0,0,1,0,0,0
Consolação,0,0,0,0,0,0,1,0
Coração de Jesus,0,0,0,0,0,1,1,1
Coroaci,0,0,0,0,0,0,1,0
Coronel Fabriciano,0,0,0,0,0,1,0,0
Coronel Pacheco,0,0,0,0,0,0,1,1
Coronel Xavier Chaves,0,0,0,0,0,0,1,0
Couto de Magalhães de Minas,0,0,0,0,0,0,2,1
Cristina,0,0,0,0,0,1,0,1
Cristália,0,0,0,0,0,0,1,1
Cruzeiro da Fortaleza,0,0,0,0,0,0,1,0
Cruzília,0,0,0,0,0,0,1,1
Cuparaque,0,0,0,0,0,0,1,0
Curral de Dentro,0,0,0,0,0,0,2,1
Datas,0,0,0,0,0,1,1,1
Descoberto,0,0,0,0,0,0,1,0
Diamantina,0,0,0,0,1,0,0,0
Diogo de Vasconcelos,0,0,0,0,0,0,1,1
Divinópolis,0,2,0,4,1,0,1,0
Divisa Alegre,0,0,0,0,0,0,2,1
Divisópolis,0,0,0,0,0,0,2,1
Dom Silvério,0,0,0,0,0,0,2,0
Dom Viçoso,0,0,0,0,0,0,1,1
Dores de Campos,0,0,0,0,0,0,1,0
Dores do Indaiá,0,0,0,0,1,0,0,0
Durandé,0,0,0,0,1,0,0,0
Elói Mendes,0,0,0,0,1,0,0,0
Engenheiro Navarro,0,0,0,0,0,1,1,1
Entre Rios de Minas,0,0,0,0,0,0,1,0
Ervália,0,0,0,0,0,0,1,0
Espinosa,0,0,0,0,0,1,1,1
Estrela Dalva,0,0,0,0,0,0,1,1
Estrela do Sul,0,0,0,0,0,0,1,0
Ewbank da Câmara,0,0,0,0,0,0,1,1
Felício dos Santos,0,0,0,0,0,1,1,1
Fervedouro,0,0,0,0,0,0,1,1
Formiga,0,0,0,0,0,2,0,2
Francisco Badaró,0,0,0,0,0,1,1,1
Francisco Sá,0,0,0,0,0,1,1,1
Frei Gaspar,0,0,0,0,0,0,1,0
Frei Lagonegro,0,0,0,0,0,1,1,1
Fronteira dos Vales,0,0,0,0,0,0,1,0
Fruta de Leite,0,0,0,0,0,1,1,1
Frutal,0,0,0,0,1,0,0,0
Gameleiras,0,0,0,0,0,1,1,1
Glaucilândia,0,0,0,0,0,0,2,1
Gouveia,0,0,0,0,0,1,1,1
Governador Valadares,6,0,0,1,6,0,0,0
