,title,number,created_at,closed_at,labels,state
3583,Coletor para o template Siplanweb - Terceiro Setor - Repasses,492,2022-04-22 23:05:58,2022-04-22 23:18:21,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Terceiro Setor""), Label(name=""não-localizado""), Label(name=""subtag-Repasses"")]",closed
3584,Coletor para o template Siplanweb - Concursos Públicos,493,2022-04-22 23:07:58,2022-04-22 23:18:21,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Concursos Públicos""), Label(name=""não-localizado"")]",closed
3585,Coletor para o template Siplanweb - Informações Institucionais - Estrutura Organizacional,494,2022-04-22 23:14:11,2022-04-22 23:18:22,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Informações Institucionais""), Label(name=""não-localizado""), Label(name=""subtag-Estrutura Organizacional"")]",closed
3586,Coletor para o template Siplanweb - Informações Institucionais - Registro das Competências,495,2022-04-22 23:15:03,2022-04-22 23:18:22,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Informações Institucionais""), Label(name=""não-localizado""), Label(name=""subtag-Registro das Competências"")]",closed
3587,Coletor para o template Siplanweb - Informações Institucionais - Unidades Administrativas,496,2022-04-22 23:15:48,2022-04-22 23:18:22,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Informações Institucionais""), Label(name=""não-localizado""), Label(name=""subtag-Unidades Administrativas"")]",closed
3588,Coletor para o template Siplanweb - Informações Institucionais - Conselhos Municipais,497,2022-04-22 23:16:30,2022-04-22 23:18:20,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Informações Institucionais""), Label(name=""não-localizado""), Label(name=""subtag-Conselhos Municipais"")]",closed
3589,Coletor para o template ADPM (22) - Contratos,498,2022-04-25 12:29:48,2022-05-23 12:06:18,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-ADPM""), Label(name=""tag-Contratos"")]",closed
3590,Coletor para o template Siplanweb - Terceiro Setor - Aditivos,499,2022-04-25 19:09:57,2022-05-02 13:41:46,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Terceiro Setor""), Label(name=""campo-Aditivos"")]",closed
3591,Coletor para o template Síntese Tecnologia e informatica - Pagamentos,376,2022-03-08 16:50:50,2022-03-11 00:43:28,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Síntese tecnologia informatica""), Label(name=""tag-Despesas""), Label(name=""subtag-Pagamentos"")]",closed
3596,Coletor para o template Sinplanweb - Contas Públicas,504,2022-04-28 12:28:33,2022-05-06 12:48:14,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Despesas""), Label(name=""subtag-Contas Públicas"")]",closed
3598,Coletor para o template da Siplanweb (61) (Licitações),92,2021-11-19 10:22:54,2022-01-21 12:41:37,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Licitação""), Label(name=""template-Siplanweb"")]",closed
3600,Coletor para o template Siplanweb - Informações Institucionais - Leis Municipais,510,2022-05-09 10:57:27,2022-05-18 21:43:08,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Informações Institucionais""), Label(name=""subtag-Leis Municipais"")]",closed
3601,Coletor para o template Síntese Tecnologia e Informática - Despesas - Relatório Orçamentário,379,2022-03-14 13:01:04,2022-03-17 16:47:17,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Síntese tecnologia informatica""), Label(name=""tag-Despesas""), Label(name=""subtag-Relatórios"")]",closed
3602,Coletor para o template ADPM (22) - Concursos Públicos,758,2022-05-18 00:07:35,2022-05-18 00:07:40,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-ADPM""), Label(name=""tag-Concursos Públicos""), Label(name=""não-localizado"")]",closed
3603,Coletor para o template ADPM (22) - Receitas - Arrecadação e Classificação,759,2022-05-18 12:42:53,2022-05-23 11:53:20,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-ADPM""), Label(name=""tag-Receitas""), Label(name=""[0] Coleta""), Label(name=""subtag-Arrecadação e Classificação"")]",closed
3605,Coletor para o template ADPM (22) - Terceiro Setor,889,2022-05-27 14:26:03,2022-05-27 14:26:21,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-ADPM""), Label(name=""tag-Terceiro Setor""), Label(name=""não-localizado"")]",closed
3607,Coletor para o template Betha - Obras Públicas,898,2022-06-14 10:44:32,2022-06-15 11:40:39,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Obras Públicas"")]",closed
3608,Coletor para o template Siplanweb - Despesas - Empenhos,191,2022-01-26 16:43:30,2022-02-25 09:33:41,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Despesas""), Label(name=""subtag-empenhos"")]",closed
3619,Coletor para o template Siplanweb - Servidores Públicos - Pessoal,417,2022-03-22 22:07:24,2022-04-04 20:29:50,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Servidores Públicos""), Label(name=""subtag-Pessoal"")]",closed
