,title,number,created_at,closed_at,labels,state
3865,Coletor para template ADPM - Acesso à Informação - Dados Abertos,906,2022-06-23 14:23:05,2022-06-23 14:23:25,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Acesso à Informação""), Label(name=""template-ADPM""), Label(name=""não-localizado""), Label(name=""subtag-Dados Abertos"")]",closed
3866,Coletor para o template Siplanweb - Acesso à Informação - Dados Abertos,490,2022-04-22 23:04:00,2022-04-22 23:18:21,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Acesso à Informação""), Label(name=""não-localizado""), Label(name=""subtag-Dados Abertos"")]",closed
3867,Coletor para o template Siplanweb - Servidores Públicos - Dispêndios,488,2022-04-22 23:00:10,2022-04-22 23:18:20,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Servidores Públicos""), Label(name=""não-localizado""), Label(name=""subtag-Dispêndios"")]",closed
3868,Coletor para o template Siplanweb - Acesso à Informação - Relatório Estatístico,489,2022-04-22 23:02:37,2022-04-22 23:18:20,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Acesso à Informação""), Label(name=""não-localizado""), Label(name=""subtag-Relatório Estatístico"")]",closed
3871,Coletor para template ADPM - Acesso a Informação - Relatório Estatístico,905,2022-06-23 14:20:13,2022-06-23 14:20:54,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Acesso à Informação""), Label(name=""template-ADPM""), Label(name=""não-localizado""), Label(name=""subtag-Relatório Estatístico"")]",closed
3872,Coletor para o template Siplanweb - Orçamento - Legislação,506,2022-05-02 12:47:46,2022-05-19 10:32:14,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Orçamento""), Label(name=""subtag-Legislação""), Label(name=""já coletado"")]",closed
3875,Coletor para o template ADPM - Acesso à Informação - Requisitos Exigidos,967,2022-06-23 15:55:57,2022-06-23 16:04:14,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Acesso à Informação""), Label(name=""template-ADPM""), Label(name=""subtag-Requisitos Exigidos"")]",closed
3876,Coletor para o template ADPM (22) - Servidores,970,2022-06-28 13:45:26,2022-06-28 13:49:25,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-ADPM""), Label(name=""tag-Servidores Públicos""), Label(name=""não-coletável-timeout"")]",closed
3877,Coletor para o template Memory (66) - Despesas - Relatórios e Contas Públicas,972,2022-07-04 23:33:23,2022-07-07 11:55:45,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Memory""), Label(name=""tag-Despesas""), Label(name=""subtag-Contas Públicas""), Label(name=""[0] Coleta""), Label(name=""subtag - Relatórios de Gestão Fiscal"")]",closed
3878,Coletor para o template Betha - Receitas - Ingressos de Receitas,973,2022-07-07 10:36:55,2022-07-13 01:15:01,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Receitas""), Label(name=""subtag-Dados das receitas""), Label(name=""campo-Ingressos de Receitas"")]",closed
3879,Coletor para o template PT - Contratos,975,2022-07-07 19:44:23,2022-07-14 00:22:55,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-PT""), Label(name=""tag-Contratos"")]",closed
3881,Coletor para o template Betha - Terceiro Setor - Repasses,1042,2022-07-13 02:19:16,2022-07-26 12:41:26,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Terceiro Setor""), Label(name=""subtag-Repasses"")]",closed
3882,Coletor para o template Betha - Informações Institucionais - Unidades Administrativas,1039,2022-07-13 01:43:05,2022-07-13 01:47:24,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Informações Institucionais""), Label(name=""não-localizado""), Label(name=""subtag-Unidades Administrativas"")]",closed
3883,Coletor para o template Betha - Informações Institucionais - Estrutura Organizacional,1040,2022-07-13 01:46:05,2022-07-13 01:47:23,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Informações Institucionais""), Label(name=""não-localizado""), Label(name=""subtag-Estrutura Organizacional"")]",closed
3884,Coletor para o template Betha - Terceiro Setor - Convênios,1041,2022-07-13 02:18:12,2022-07-26 11:13:12,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Terceiro Setor""), Label(name=""campo-Convênios""), Label(name=""subtag-Dados de Parcerias"")]",closed
3885,Coletor para o template Betha - Informações Institucionais - Leis Municipais,1044,2022-07-13 02:22:36,2022-07-28 19:41:05,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Informações Institucionais""), Label(name=""subtag-Leis Municipais"")]",closed
