#Rank,Municipio (Planilha),Municipio (Clustering),Desenvolvedor (Planilha),Template (Clustering),template_name_size,cluster_id,Portal da Transparência (validado)
485,Varjão de Minas,Varjão de Minas,adpm,sem_nome_no_clustering,,47.0,http://www.adpmnet.com.br/index.php?option=com_contpubl&submenu=1&cnpj=1609780000134&idreg=&tpformtab=jos_coputvcb1&tpformpdf=51&tpform=2&idorg=141&dsorg=Prefeitura%20Municipal%20de%20Varj%C3%A3o%20de%20Minas&dsufe=Estado%20de%20Minas%20Gerais&brasao=P317075.GIF&titulo=Remunera%C3%A7%C3%A3o%20Mensal%20dos%20Servidores%20P%C3%BAblicos&idtpc=0&nome_mat=1&nao_proventos=0&nao_descontos=0
492,Cabeceira Grande,Cabeceira Grande,agenciaidex,sem_nome_no_clustering,,400.0,https://www.cabeceiragrande.mg.gov.br/
46,Alfenas,Alfenas,betha,sem_nome_no_clustering,,770.0,http://transparencia.alfenas.mg.gov.br/
19,Barbacena,Barbacena,betha,sem_nome_no_clustering,,227.0,http://barbacena.mg.gov.br/transparencia/
91,Ouro Branco,Ouro Branco,betha,sem_nome_no_clustering,,227.0,https://e-gov.betha.com.br/transparencia/01037-108/recursos.faces?mun=tvrMMwtvmbcoC2EP4aprSV8RhpRd-St4
266,Alterosa,Alterosa,bethacloud,betha,Betha (26),3.0,https://e-gov.betha.com.br/transparencia/01037-108/recursos.faces
561,Bandeira do Sul,Bandeira do Sul,bethacloud,betha,Betha (26),3.0,https://e-gov.betha.com.br/transparencia/01037-108/recursos.faces?mun=GGQItMTWJxGgGxfmSqX_OOFwzYBPYsDV
50,Cataguases,Cataguases,bethacloud,betha,Betha (26),3.0,http://cataguases.mg.gov.br.gestormunicipal.online/transparencia/home/
286,Itaguara,Itaguara,bethacloud,betha,Betha (26),3.0,https://e-gov.betha.com.br/transparencia/01037-108/recursos.faces?mun=iShg8dP1D5cMGdQ4R1BH8HYZRmlXk41O
231,Raposos,Raposos,bethacloud,betha,Betha (26),3.0,https://e-gov.betha.com.br/transparencia/01037-108/recursos.faces?mun=b0yqVbCtMlW1gxPNyOGym6Op7A3j0DxJ
108,Sarzedo,Sarzedo,bethacloud,betha,Betha (26),3.0,https://e-gov.betha.com.br/transparencia/01037-108/recursos.faces?mun=RAs2ILPR6DTL39dg46ij7aulcbJ9yhp8
662,Rosário da Limeira,Rosário da Limeira,cms,sem_nome_no_clustering,,740.0,http://www.rosariodalimeira.mg.gov.br/site/transparencia/TransparenciaPreviliP2017.php
148,São João da Ponte,,colorlib,,,,https://saojoaodaponte.mg.gov.br/transparencia
21,Varginha,Varginha,conam,template1,Template1 (9),24.0,https://leideacesso.etransparencia.com.br/varginha.prefeitura.mg/TDAPortalClient.aspx?414
395,Coronel Murta,Coronel Murta,conceitoassessoriaetecnologia,sem_nome_no_clustering,,27.0,https://pmcoronelmurta-transparencia.gpecloud.com.br/
590,Franciscópolis,Franciscópolis,conceitoassessoriaetecnologia,sem_nome_no_clustering,,27.0,https://pmfranciscopolis-transparencia.gpecloud.com.br/
22,Vespasiano,Vespasiano,conectbrtecnologia,abo,ABO (21),89.0,http://esic.vespasiano.mg.gov.br/Home/Index/
691,Dores do Turvo,Dores do Turvo,contasabertas,sem_nome_no_clustering,,128.0,http://www.contasabertas.inf.br/abre/c20ad4d76fe97759aa27a0c99bff6710
830,Oliveira Fortes,Oliveira Fortes,contasabertas,sem_nome_no_clustering,,128.0,http://www.contasabertas.inf.br/abre/c51ce410c124a10e0db5e4b97fc2af39
845,Passabém,Passabém,contasabertas,sem_nome_no_clustering,,128.0,http://www.contasabertas.inf.br/abre/8f14e45fceea167a5a36dedd4bea2543
490,Abadia dos Dourados,Abadia dos Dourados,coruja,dardanisistemas,Dardani Sistemas (4),662.0,http://735c07fc277d.sn.mynetname.net:8093/
40,Patrocínio,Patrocínio,coruja,dardanisistemas,Dardani Sistemas (4),662.0,http://735c07fc277d.sn.mynetname.net:8085/
404,Serra dos Aimorés,Serra dos Aimorés,dataprime,sem_nome_no_clustering,,283.0,https://pmsa.mg.gov.br/transparencia/
714,Goianá,Goianá,dgerais,sem_nome_no_clustering,,649.0,https://www.goiana.mg.gov.br/transparencia.html
240,Itamonte,Itamonte,embras,template1,Template1 (9),24.0,http://transparencia.itamonte.mg.gov.br/
746,Nova Módica,Nova Módica,emconstrução,sem_nome_no_clustering,,296.0,https://www.novamodica.mg.gov.br/transparencia/
154,Bambuí,Bambuí,expand,sem_nome_no_clustering,,49.0,https://www.bambui.mg.gov.br/transparencia
682,Japaraíba,Japaraíba,expand,sem_nome_no_clustering,,541.0,https://www.japaraiba.mg.gov.br/transparencia
482,São Tomé das Letras,São Tomé das Letras,fiorilli,fiorillisociedadecivil,Fiorilli sociedade civil (7),206.0,https://portal.sgpcloud.net:9016/transparencia/
329,Carmo da Mata,Carmo da Mata,gmaestelecom,sem_nome_no_clustering,,241.0,https://www.carmodamata.mg.gov.br/transparencia
89,Arcos,Arcos,govbr,sem_nome_no_clustering,,125.0,http://177.71.169.183/pronimtb/
170,Paraguaçu,Paraguaçu,gpecloud,betha,Betha (26),3.0,https://e-gov.betha.com.br/transparencia/01037-108/recursos.faces?mun=GSJbAPBc7Hw=
645,Braúnas,Braúnas,grc,sem_nome_no_clustering,,99.0,https://www.braunas.mg.gov.br/transparencia/portal-da-transparencia.html
605,Francisco Dumont,Francisco Dumont,grc,sem_nome_no_clustering,,327.0,https://www.franciscodumont.mg.gov.br/transparencia/portal-da-transparencia
769,Leandro Ferreira,Leandro Ferreira,grc,sem_nome_no_clustering,,518.0,https://www.leandroferreira.mg.gov.br/transparencia-1/portal-da-transparencia
12,Divinópolis,,grp,,,,http://177.69.246.151:8090/portalcidadao/#efb33c382dcf9e4ae2294337ce2a566034ee25478c90493e56f55878a4d19d547154abb93a539ca141901243121b0442f68667740d76583a9b6fc842805a701255f50abffb83548323feb3d4a215dcba05fc4b5b868699999c1d78af95bbbed2ae7ab27d940f9f7a8b2debb75557ba1cd7f6303c3be5a0edaecf72a00208c722773c5ec1c75725b2
766,Natalândia,Natalândia,idex,sem_nome_no_clustering,,409.0,https://www.natalandia.mg.gov.br/publicacoes/
408,Pimenta,Pimenta,inovarte,template1,Template1 (9),24.0,http://pimenta.mg.gov.br/portalprefeitura/
319,Campo do Meio,Campo do Meio,instar,sem_nome_no_clustering,,616.0,https://www.campodomeio.mg.gov.br/portal/transparencia
259,Candeias,Candeias,instar,sem_nome_no_clustering,,285.0,https://www.candeias.mg.gov.br/portal/transparencia
38,Itaúna,Itaúna,instar,sem_nome_no_clustering,,754.0,https://www.itauna.mg.gov.br/portal/transparencia
521,São Francisco de Paula,São Francisco de Paula,instar,sem_nome_no_clustering,,297.0,https://www.saofranciscodepaula.rs.gov.br/portal/transparencia
409,Capitólio,Capitólio,instartecnologia,sem_nome_no_clustering,,603.0,https://www.capitolio.mg.gov.br/comunicado/
287,Monte Belo,Monte Belo,invictaweb,sem_nome_no_clustering,,69.0,https://www.montebelo.mg.gov.br/transparencia
183,Muzambinho,Muzambinho,invictaweb,sem_nome_no_clustering,,146.0,https://www.muzambinho.mg.gov.br/transparencia
451,Serrania,Serrania,invictaweb,sem_nome_no_clustering,,608.0,https://www.serrania.mg.gov.br/transparencia/portal-da-transparencia
657,São Pedro da União,São Pedro da União,invictaweb,sem_nome_no_clustering,,513.0,https://www.saopedrodauniao.mg.gov.br/transparencia/portal-da-transparencia/portal-da-transparencia-ate-2017
471,Inconfidentes,Inconfidentes,joomla,sem_nome_no_clustering,,131.0,https://www.inconfidentes.mg.gov.br/index.php/governo/transparencia
291,Rio Vermelho,Rio Vermelho,lbminformatica,sem_nome_no_clustering,,59.0,https://riovermelho.mg.gov.br/transparencia/
641,Vermelho Novo,Vermelho Novo,masterpublica,portalfacil,Portal Fácil (60),6.0,https://transparencia.vermelhonovo.mg.gov.br/transparencia
301,Ilicínea,Ilicínea,mediasystem,sem_nome_no_clustering,,424.0,http://portal-transparencia.portyx.com.br/?orgao=20
218,Bom Sucesso,,memory,,,,http://lai.memory.com.br/entidades/login/98CSD1
